owner,n_commitments,n_calls,last_commitment
Maria Santos,31,13,2026-04-24 12:45:00+00:00
David Kim,24,8,2026-04-22 12:30:00+00:00
Sarah Chen,23,10,2026-04-27 10:15:00+00:00
Elena Vasquez,20,8,2026-04-03 15:30:00+00:00
Aisha Johnson,18,8,2026-04-22 15:30:00+00:00
Marcus Williams,15,8,2026-04-10 17:30:00+00:00
Priya Patel,15,6,2026-04-25 17:15:00+00:00
Daniel Okafor,14,8,2026-04-28 12:45:00+00:00
Rachel Torres,14,8,2026-04-25 14:45:00+00:00
Lisa Park,14,8,2026-04-21 14:15:00+00:00
Ananya Sharma,13,12,2026-04-26 11:45:00+00:00
Sofia Petrov,12,11,2026-04-25 14:45:00+00:00
Chris Lee,11,7,2026-04-28 10:45:00+00:00
Mike Romano,10,10,2026-04-28 12:45:00+00:00
Ravi Gupta,10,8,2026-04-26 11:45:00+00:00
